video_name,video_name_org,source,sub_set,label_name,label
v_00035,train_Fight_1r0Wz04q_0,RWF_2000,train,fight,2
v_00036,train_Fight_1tU4kxa51vw_1,RWF_2000,train,fight,2
v_00037,train_Fight_20130506 05_58 Fù¥S¦¦ T+æµP¥_37,RWF_2000,train,fight,2
v_00038,train_Fight_24E0xYYUz44_0,RWF_2000,train,fight,2
v_00039,train_Fight_24E0xYYUz44_1,RWF_2000,train,fight,2
v_00040,train_Fight_24E0xYYUz44_2,RWF_2000,train,fight,2
v_00041,train_Fight_24E0xYYUz44_3,RWF_2000,train,fight,2
v_00042,train_Fight_24E0xYYUz44_4,RWF_2000,train,fight,2
v_00043,train_Fight_24E0xYYUz44_5,RWF_2000,train,fight,2
v_00044,train_Fight_24E0xYYUz44_6,RWF_2000,train,fight,2
v_00045,train_Fight_24E0xYYUz44_7,RWF_2000,train,fight,2
v_00046,train_Fight_2hQMRq06NJs_0,RWF_2000,train,fight,2
v_00047,train_Fight_2sy_eLpH-PI_0,RWF_2000,train,fight,2
v_00048,train_Fight_2sy_eLpH-PI_1,RWF_2000,train,fight,2
v_00049,train_Fight_3CQi0ZCCHvc_0,RWF_2000,train,fight,2
v_00050,train_Fight_3CQi0ZCCHvc_1,RWF_2000,train,fight,2
v_00051,train_Fight_3CQi0ZCCHvc_2,RWF_2000,train,fight,2
v_00052,train_Fight_3OKArbzg1uc_0,RWF_2000,train,fight,2
v_00053,train_Fight_3OKArbzg1uc_1,RWF_2000,train,fight,2
v_00054,train_Fight_3OKArbzg1uc_2,RWF_2000,train,fight,2
v_00055,train_Fight_3OKArbzg1uc_3,RWF_2000,train,fight,2
v_00056,train_Fight_3OKArbzg1uc_4,RWF_2000,train,fight,2
v_00057,train_Fight_3SS0E4SmTk8_0,RWF_2000,train,fight,2
v_00058,train_Fight_3SS0E4SmTk8_1,RWF_2000,train,fight,2
v_00059,train_Fight_3Vw7MoNBgx4_0,RWF_2000,train,fight,2
v_00060,train_Fight_3kpviz7lAMY_0,RWF_2000,train,fight,2
v_00061,train_Fight_3kpviz7lAMY_1,RWF_2000,train,fight,2
v_00062,train_Fight_3kpviz7lAMY_2,RWF_2000,train,fight,2
v_00063,train_Fight_3kpviz7lAMY_3,RWF_2000,train,fight,2
v_00064,train_Fight_3kpviz7lAMY_4,RWF_2000,train,fight,2
v_00065,train_Fight_4HH7yMU8y9A_0,RWF_2000,train,fight,2
v_00066,train_Fight_4HH7yMU8y9A_1,RWF_2000,train,fight,2
v_00067,train_Fight_4RqDG4I4iAk_0,RWF_2000,train,fight,2
v_00068,train_Fight_4RqDG4I4iAk_1,RWF_2000,train,fight,2
v_00069,train_Fight_4RqDG4I4iAk_2,RWF_2000,train,fight,2
v_00070,train_Fight_4RqDG4I4iAk_3,RWF_2000,train,fight,2
v_00071,train_Fight_4RqDG4I4iAk_4,RWF_2000,train,fight,2
v_00072,train_Fight_4RqDG4I4iAk_5,RWF_2000,train,fight,2
v_00073,train_Fight_4RqDG4I4iAk_6,RWF_2000,train,fight,2
v_00074,train_Fight_4RqDG4I4iAk_7,RWF_2000,train,fight,2
v_00075,train_Fight_4RqDG4I4iAk_8,RWF_2000,train,fight,2
v_00076,train_Fight_4yTlGiDoxBo_0,RWF_2000,train,fight,2
v_00077,train_Fight_4yTlGiDoxBo_1,RWF_2000,train,fight,2
v_00078,train_Fight_4yTlGiDoxBo_2,RWF_2000,train,fight,2
v_00079,train_Fight_4yTlGiDoxBo_3,RWF_2000,train,fight,2
v_00080,train_Fight_4yTlGiDoxBo_4,RWF_2000,train,fight,2
v_00081,train_Fight_4yTlGiDoxBo_5,RWF_2000,train,fight,2
v_00082,train_Fight_4yzwSsis_0,RWF_2000,train,fight,2
v_00083,train_Fight_5QqDgtwEQsI_0,RWF_2000,train,fight,2
v_00084,train_Fight_6Dej3-k3MRE_0,RWF_2000,train,fight,2
v_00085,train_Fight_6Dej3-k3MRE_1,RWF_2000,train,fight,2
v_00086,train_Fight_6Dej3-k3MRE_2,RWF_2000,train,fight,2
v_00087,train_Fight_6Dej3-k3MRE_3,RWF_2000,train,fight,2
v_00088,train_Fight_6Dej3-k3MRE_4,RWF_2000,train,fight,2
v_00089,train_Fight_6Dej3-k3MRE_5,RWF_2000,train,fight,2
v_00090,train_Fight_6TDF_12,RWF_2000,train,fight,2
v_00091,train_Fight_6TDF_13,RWF_2000,train,fight,2
v_00092,train_Fight_6TDF_14,RWF_2000,train,fight,2
v_00093,train_Fight_6TDF_15,RWF_2000,train,fight,2
v_00094,train_Fight_6TDF_27,RWF_2000,train,fight,2
v_00095,train_Fight_6mrIIcAQ2fI_0,RWF_2000,train,fight,2
v_00096,train_Fight_6mrIIcAQ2fI_2,RWF_2000,train,fight,2
v_00097,train_Fight_6mrIIcAQ2fI_3,RWF_2000,train,fight,2
v_00098,train_Fight_7LnoFKSl2rs_0,RWF_2000,train,fight,2
v_00099,train_Fight_7R1m3V8C30g_0,RWF_2000,train,fight,2
v_00100,train_Fight_7R1m3V8C30g_1,RWF_2000,train,fight,2
v_00101,train_Fight_7R1m3V8C30g_2,RWF_2000,train,fight,2
v_00102,train_Fight_7Xe6eysGKeU_0,RWF_2000,train,fight,2
v_00103,train_Fight_7qtRgyFsk3s_0,RWF_2000,train,fight,2
v_00104,train_Fight_7qtRgyFsk3s_1,RWF_2000,train,fight,2
v_00105,train_Fight_88ndrvAZpE8_0,RWF_2000,train,fight,2
v_00106,train_Fight_88ndrvAZpE8_1,RWF_2000,train,fight,2
v_00107,train_Fight_89UQqPuR4Q4_0,RWF_2000,train,fight,2
v_00108,train_Fight_8SWZq5we_fk_0,RWF_2000,train,fight,2
v_00109,train_Fight_8SWZq5we_fk_1,RWF_2000,train,fight,2
v_00110,train_Fight_8VqTmuq4HcI_0,RWF_2000,train,fight,2
v_00111,train_Fight_8bEO4LGr_0,RWF_2000,train,fight,2
v_00112,train_Fight_8mxsp2RTU6M_0,RWF_2000,train,fight,2
v_00113,train_Fight_8pKKdS7rhXo_0,RWF_2000,train,fight,2
v_00114,train_Fight_8pKKdS7rhXo_1,RWF_2000,train,fight,2
v_00115,train_Fight_8pKKdS7rhXo_2,RWF_2000,train,fight,2
v_00116,train_Fight_91TniI0y_0,RWF_2000,train,fight,2
v_00117,train_Fight_9ErNHIovPDI_0,RWF_2000,train,fight,2
v_00118,train_Fight_9U8J4abJGDg_0,RWF_2000,train,fight,2
v_00119,train_Fight_API3q8TBGu4_0,RWF_2000,train,fight,2
v_00120,train_Fight_AkTZX27QhjE_1,RWF_2000,train,fight,2
v_00121,train_Fight_AkTZX27QhjE_2,RWF_2000,train,fight,2
v_00122,train_Fight_AkTZX27QhjE_3,RWF_2000,train,fight,2
v_00123,train_Fight_AkTZX27QhjE_4,RWF_2000,train,fight,2
v_00124,train_Fight_Am9mUxPTvK4_0,RWF_2000,train,fight,2
v_00125,train_Fight_Am9mUxPTvK4_1,RWF_2000,train,fight,2
v_00126,train_Fight_AsGAgf8U2rk_0,RWF_2000,train,fight,2
v_00127,train_Fight_BCVBVC_263,RWF_2000,train,fight,2
v_00128,train_Fight_BCVBVC_264,RWF_2000,train,fight,2
v_00129,train_Fight_BpargJW29Wo_0,RWF_2000,train,fight,2
v_00130,train_Fight_BpargJW29Wo_1,RWF_2000,train,fight,2
v_00131,train_Fight_BpargJW29Wo_2,RWF_2000,train,fight,2
v_00132,train_Fight_BpargJW29Wo_3,RWF_2000,train,fight,2
v_00133,train_Fight_BpargJW29Wo_4,RWF_2000,train,fight,2
v_00134,train_Fight_C4SQF-UZzkA_2,RWF_2000,train,fight,2
v_00135,train_Fight_C8wt47cphU8_0,RWF_2000,train,fight,2
v_00136,train_Fight_C8wt47cphU8_1,RWF_2000,train,fight,2
v_00137,train_Fight_CBfRtxkO1bE_0,RWF_2000,train,fight,2
v_00138,train_Fight_CBfRtxkO1bE_1,RWF_2000,train,fight,2
v_00139,train_Fight_CBfRtxkO1bE_2,RWF_2000,train,fight,2
v_00140,train_Fight_CBfRtxkO1bE_3,RWF_2000,train,fight,2
v_00141,train_Fight_Cce4ogHp_0,RWF_2000,train,fight,2
v_00142,train_Fight_Cce4ogHp_1,RWF_2000,train,fight,2
v_00143,train_Fight_CqJB8ZWLZ-o_0,RWF_2000,train,fight,2
v_00144,train_Fight_CqJB8ZWLZ-o_1,RWF_2000,train,fight,2
v_00145,train_Fight_DC10fyQgNqo_0,RWF_2000,train,fight,2
v_00146,train_Fight_DC10fyQgNqo_1,RWF_2000,train,fight,2
v_00147,train_Fight_DC10fyQgNqo_2,RWF_2000,train,fight,2
v_00148,train_Fight_DC10fyQgNqo_3,RWF_2000,train,fight,2
v_00149,train_Fight_DHhyNrXr_0,RWF_2000,train,fight,2
v_00150,train_Fight_DHhyNrXr_1,RWF_2000,train,fight,2
v_00151,train_Fight_DHhyNrXr_2,RWF_2000,train,fight,2
v_00152,train_Fight_DHhyNrXr_5,RWF_2000,train,fight,2
v_00153,train_Fight_DIsQwAdR8MI_0,RWF_2000,train,fight,2
v_00154,train_Fight_DTq6Gu30-uA_0,RWF_2000,train,fight,2
v_00155,train_Fight_DTq6Gu30-uA_1,RWF_2000,train,fight,2
v_00156,train_Fight_DTq6Gu30-uA_2,RWF_2000,train,fight,2
v_00157,train_Fight_DTq6Gu30-uA_3,RWF_2000,train,fight,2
v_00158,train_Fight_DTq6Gu30-uA_4,RWF_2000,train,fight,2
v_00159,train_Fight_DTq6Gu30-uA_5,RWF_2000,train,fight,2
v_00160,train_Fight_DTq6Gu30-uA_6,RWF_2000,train,fight,2
v_00161,train_Fight_E0Huf4Qi0JE_0,RWF_2000,train,fight,2
v_00162,train_Fight_E0Huf4Qi0JE_1,RWF_2000,train,fight,2
v_00163,train_Fight_E2gqgFNyPL8_0,RWF_2000,train,fight,2
v_00164,train_Fight_ECoMcgjR_0,RWF_2000,train,fight,2
v_00165,train_Fight_Ek0jcAoCRw8_0,RWF_2000,train,fight,2
v_00166,train_Fight_Er-sOPbvRVI_0,RWF_2000,train,fight,2
v_00167,train_Fight_EtRfZ2KP_0,RWF_2000,train,fight,2
v_00168,train_Fight_EtRfZ2KP_2,RWF_2000,train,fight,2
v_00169,train_Fight_EtRfZ2KP_3,RWF_2000,train,fight,2
v_00170,train_Fight_EtRfZ2KP_4,RWF_2000,train,fight,2
v_00171,train_Fight_EtRfZ2KP_5,RWF_2000,train,fight,2
v_00172,train_Fight_F7W6PQ3V3y8_0,RWF_2000,train,fight,2
v_00173,train_Fight_F7W6PQ3V3y8_1,RWF_2000,train,fight,2
v_00174,train_Fight_F7W6PQ3V3y8_10,RWF_2000,train,fight,2
v_00175,train_Fight_F7W6PQ3V3y8_11,RWF_2000,train,fight,2
v_00176,train_Fight_F7W6PQ3V3y8_2,RWF_2000,train,fight,2
v_00177,train_Fight_F7W6PQ3V3y8_3,RWF_2000,train,fight,2
v_00178,train_Fight_F7W6PQ3V3y8_4,RWF_2000,train,fight,2
v_00179,train_Fight_F7W6PQ3V3y8_5,RWF_2000,train,fight,2
v_00180,train_Fight_F7W6PQ3V3y8_6,RWF_2000,train,fight,2
v_00181,train_Fight_F7W6PQ3V3y8_7,RWF_2000,train,fight,2
v_00182,train_Fight_F7W6PQ3V3y8_8,RWF_2000,train,fight,2
v_00183,train_Fight_F7W6PQ3V3y8_9,RWF_2000,train,fight,2
v_00184,train_Fight_FSaZ8wiFw8Q_0,RWF_2000,train,fight,2
v_00185,train_Fight_FZDDNtcaBcw_0,RWF_2000,train,fight,2
v_00186,train_Fight_FZDDNtcaBcw_1,RWF_2000,train,fight,2
v_00187,train_Fight_FZDDNtcaBcw_2,RWF_2000,train,fight,2
v_00188,train_Fight_Fc45rUKM_0,RWF_2000,train,fight,2
v_00189,train_Fight_Fc45rUKM_1,RWF_2000,train,fight,2
v_00190,train_Fight_Fc45rUKM_2,RWF_2000,train,fight,2
v_00191,train_Fight_Fc45rUKM_3,RWF_2000,train,fight,2
v_00192,train_Fight_Fc45rUKM_4,RWF_2000,train,fight,2
v_00193,train_Fight_Fc45rUKM_5,RWF_2000,train,fight,2
v_00194,train_Fight_Fc45rUKM_6,RWF_2000,train,fight,2
v_00195,train_Fight_G3E1YP6agWs_0,RWF_2000,train,fight,2
v_00196,train_Fight_G3E1YP6agWs_1,RWF_2000,train,fight,2
v_00197,train_Fight_GKsvH_pVNQU_0,RWF_2000,train,fight,2
v_00198,train_Fight_GKsvH_pVNQU_1,RWF_2000,train,fight,2
v_00199,train_Fight_GafFu4IZtIA_0,RWF_2000,train,fight,2
v_00200,train_Fight_GafFu4IZtIA_1,RWF_2000,train,fight,2
v_00201,train_Fight_GafFu4IZtIA_2,RWF_2000,train,fight,2
v_00202,train_Fight_GafFu4IZtIA_3,RWF_2000,train,fight,2
v_00203,train_Fight_GafFu4IZtIA_4,RWF_2000,train,fight,2
v_00204,train_Fight_GafFu4IZtIA_6,RWF_2000,train,fight,2
v_00205,train_Fight_GafFu4IZtIA_7,RWF_2000,train,fight,2
v_00206,train_Fight_GhZRf4GIw0w_0,RWF_2000,train,fight,2
v_00207,train_Fight_Gr3ikl6A2bE_1,RWF_2000,train,fight,2
v_00208,train_Fight_Gr3ikl6A2bE_2,RWF_2000,train,fight,2
v_00209,train_Fight_GtGAcKxn_0,RWF_2000,train,fight,2
v_00210,train_Fight_GuLMP_IOrR0_0,RWF_2000,train,fight,2
v_00211,train_Fight_GuLMP_IOrR0_1,RWF_2000,train,fight,2
v_00212,train_Fight_H1AzC-GyKto_0,RWF_2000,train,fight,2
v_00213,train_Fight_H1AzC-GyKto_1,RWF_2000,train,fight,2
v_00214,train_Fight_HVSv9sgz2ZI_0,RWF_2000,train,fight,2
v_00215,train_Fight_HVSv9sgz2ZI_1,RWF_2000,train,fight,2
v_00216,train_Fight_HVSv9sgz2ZI_2,RWF_2000,train,fight,2
v_00217,train_Fight_HVSv9sgz2ZI_4,RWF_2000,train,fight,2
v_00218,train_Fight_HVSv9sgz2ZI_5,RWF_2000,train,fight,2
v_00219,train_Fight_HW48LUZKOL4_0,RWF_2000,train,fight,2
v_00220,train_Fight_HW48LUZKOL4_1,RWF_2000,train,fight,2
v_00221,train_Fight_HW48LUZKOL4_2,RWF_2000,train,fight,2
v_00222,train_Fight_HW48LUZKOL4_4,RWF_2000,train,fight,2
v_00223,train_Fight_H_VQJU0Bqpc_1,RWF_2000,train,fight,2
v_00224,train_Fight_H_VQJU0Bqpc_2,RWF_2000,train,fight,2
v_00225,train_Fight_HgwpC5Xx_0,RWF_2000,train,fight,2
v_00226,train_Fight_HtbVjsRA_0,RWF_2000,train,fight,2
v_00227,train_Fight_HtbVjsRA_1,RWF_2000,train,fight,2
v_00228,train_Fight_HtbVjsRA_2,RWF_2000,train,fight,2
v_00229,train_Fight_I-x0G5pAan0_0,RWF_2000,train,fight,2
v_00230,train_Fight_Ile3EVQA_0,RWF_2000,train,fight,2
v_00231,train_Fight_Ile3EVQA_1,RWF_2000,train,fight,2
v_00232,train_Fight_JJG0bHPur50_0,RWF_2000,train,fight,2
v_00233,train_Fight_JJG0bHPur50_1,RWF_2000,train,fight,2
v_00234,train_Fight_JJG0bHPur50_2,RWF_2000,train,fight,2
v_00235,train_Fight_JPIeYvRgo6I_0,RWF_2000,train,fight,2
v_00236,train_Fight_JPIeYvRgo6I_1,RWF_2000,train,fight,2
v_00237,train_Fight_JRL5Vvql_0,RWF_2000,train,fight,2
v_00238,train_Fight_JRL5Vvql_1,RWF_2000,train,fight,2
v_00239,train_Fight_Jq8neqBlL2Y_2,RWF_2000,train,fight,2
v_00240,train_Fight_Jq8neqBlL2Y_3,RWF_2000,train,fight,2
v_00241,train_Fight_Jq8neqBlL2Y_4,RWF_2000,train,fight,2
v_00242,train_Fight_Jq8neqBlL2Y_5,RWF_2000,train,fight,2
v_00243,train_Fight_Jt4WbOZeT7s_0,RWF_2000,train,fight,2
v_00244,train_Fight_JwTPruSFTjk_0,RWF_2000,train,fight,2
v_00245,train_Fight_JwTPruSFTjk_1,RWF_2000,train,fight,2
v_00246,train_Fight_K6WRP2xi_0,RWF_2000,train,fight,2
v_00247,train_Fight_K6WRP2xi_1,RWF_2000,train,fight,2
v_00248,train_Fight_K6WRP2xi_2,RWF_2000,train,fight,2
v_00249,train_Fight_K6WRP2xi_3,RWF_2000,train,fight,2
v_00250,train_Fight_K_7hT4N2QCE_0,RWF_2000,train,fight,2
v_00251,train_Fight_K_7hT4N2QCE_1,RWF_2000,train,fight,2
v_00252,train_Fight_K_7hT4N2QCE_2,RWF_2000,train,fight,2
v_00253,train_Fight_Kx5lWLPZ0Y0_0,RWF_2000,train,fight,2
v_00254,train_Fight_Kx5lWLPZ0Y0_1,RWF_2000,train,fight,2
v_00255,train_Fight_LLo_TXIz5-g_0,RWF_2000,train,fight,2
v_00256,train_Fight_Mi4nMB8AHxI_0,RWF_2000,train,fight,2
v_00257,train_Fight_Mi4nMB8AHxI_1,RWF_2000,train,fight,2
v_00258,train_Fight_MzcX84QCuE8_0,RWF_2000,train,fight,2
v_00259,train_Fight_N1Q9v-saJ_g_0,RWF_2000,train,fight,2
v_00260,train_Fight_N1Q9v-saJ_g_1,RWF_2000,train,fight,2
v_00261,train_Fight_N1Q9v-saJ_g_2,RWF_2000,train,fight,2
v_00262,train_Fight_NPeKBgURcxI_0,RWF_2000,train,fight,2
v_00263,train_Fight_NPeKBgURcxI_1,RWF_2000,train,fight,2
v_00264,train_Fight_NPeKBgURcxI_2,RWF_2000,train,fight,2
v_00265,train_Fight_NpznjZe7A2M_0,RWF_2000,train,fight,2
v_00266,train_Fight_NpznjZe7A2M_1,RWF_2000,train,fight,2
v_00267,train_Fight_NvYo6CS_i_A_0,RWF_2000,train,fight,2
v_00268,train_Fight_NvYo6CS_i_A_1,RWF_2000,train,fight,2
v_00269,train_Fight_NvYo6CS_i_A_2,RWF_2000,train,fight,2
v_00270,train_Fight_NvYo6CS_i_A_3,RWF_2000,train,fight,2
v_00271,train_Fight_NxtwlqSnLbY_1,RWF_2000,train,fight,2
v_00272,train_Fight_NxtwlqSnLbY_2,RWF_2000,train,fight,2
v_00273,train_Fight_NxtwlqSnLbY_3,RWF_2000,train,fight,2
v_00274,train_Fight_NxtwlqSnLbY_4,RWF_2000,train,fight,2
v_00275,train_Fight_OAfV0xPIhZw_0,RWF_2000,train,fight,2
v_00276,train_Fight_OAfV0xPIhZw_1,RWF_2000,train,fight,2
v_00277,train_Fight_OAfV0xPIhZw_2,RWF_2000,train,fight,2
v_00278,train_Fight_OAfV0xPIhZw_3,RWF_2000,train,fight,2
v_00279,train_Fight_OAfV0xPIhZw_4,RWF_2000,train,fight,2
v_00280,train_Fight_OTVE3eLAuUM_0,RWF_2000,train,fight,2
v_00281,train_Fight_OTVE3eLAuUM_1,RWF_2000,train,fight,2
v_00282,train_Fight_OTVE3eLAuUM_2,RWF_2000,train,fight,2
v_00283,train_Fight_Ou8ssKOQzI0_0,RWF_2000,train,fight,2
v_00284,train_Fight_Ou8ssKOQzI0_1,RWF_2000,train,fight,2
v_00285,train_Fight_Ou8ssKOQzI0_2,RWF_2000,train,fight,2
v_00286,train_Fight_PFw7SeFOD04_0,RWF_2000,train,fight,2
v_00287,train_Fight_PFw7SeFOD04_1,RWF_2000,train,fight,2
v_00288,train_Fight_PFw7SeFOD04_2,RWF_2000,train,fight,2
v_00289,train_Fight_PFw7SeFOD04_3,RWF_2000,train,fight,2
v_00290,train_Fight_PJDdPv2b9-s_0,RWF_2000,train,fight,2
v_00291,train_Fight_POGFN_429,RWF_2000,train,fight,2
v_00292,train_Fight_POGFN_430,RWF_2000,train,fight,2
v_00293,train_Fight_POGFN_432,RWF_2000,train,fight,2
v_00294,train_Fight_PTy2vx8Ejas_0,RWF_2000,train,fight,2
v_00295,train_Fight_PTy2vx8Ejas_1,RWF_2000,train,fight,2
v_00296,train_Fight_PTy2vx8Ejas_2,RWF_2000,train,fight,2
v_00297,train_Fight_PTy2vx8Ejas_3,RWF_2000,train,fight,2
v_00298,train_Fight_PTy2vx8Ejas_5,RWF_2000,train,fight,2
v_00299,train_Fight_Pe1uIhp4dAQ_0,RWF_2000,train,fight,2
v_00300,train_Fight_Pe1uIhp4dAQ_1,RWF_2000,train,fight,2
v_00301,train_Fight_Pe1uIhp4dAQ_2,RWF_2000,train,fight,2
v_00302,train_Fight_Pe1uIhp4dAQ_3,RWF_2000,train,fight,2
v_00303,train_Fight_Pe1uIhp4dAQ_4,RWF_2000,train,fight,2
v_00304,train_Fight_PlHzsigAFas_0,RWF_2000,train,fight,2
v_00305,train_Fight_PlHzsigAFas_1,RWF_2000,train,fight,2
v_00306,train_Fight_PlHzsigAFas_10,RWF_2000,train,fight,2
v_00307,train_Fight_PlHzsigAFas_11,RWF_2000,train,fight,2
v_00308,train_Fight_PlHzsigAFas_2,RWF_2000,train,fight,2
v_00309,train_Fight_PlHzsigAFas_3,RWF_2000,train,fight,2
v_00310,train_Fight_PlHzsigAFas_4,RWF_2000,train,fight,2
v_00311,train_Fight_PlHzsigAFas_5,RWF_2000,train,fight,2
v_00312,train_Fight_PlHzsigAFas_7,RWF_2000,train,fight,2
v_00313,train_Fight_PlHzsigAFas_8,RWF_2000,train,fight,2
v_00314,train_Fight_PlHzsigAFas_9,RWF_2000,train,fight,2
v_00315,train_Fight_Q1ycSrzoM2c_1,RWF_2000,train,fight,2
v_00316,train_Fight_Q1ycSrzoM2c_2,RWF_2000,train,fight,2
v_00317,train_Fight_QUGT4a6qcJs_0,RWF_2000,train,fight,2
v_00318,train_Fight_QUGT4a6qcJs_1,RWF_2000,train,fight,2
v_00319,train_Fight_QUGT4a6qcJs_2,RWF_2000,train,fight,2
v_00320,train_Fight_QaIY5Au8yOc_0,RWF_2000,train,fight,2
v_00321,train_Fight_QaIY5Au8yOc_1,RWF_2000,train,fight,2
v_00322,train_Fight_QaIY5Au8yOc_2,RWF_2000,train,fight,2
v_00323,train_Fight_QkqaGJ9x_0,RWF_2000,train,fight,2
v_00324,train_Fight_QkqaGJ9x_1,RWF_2000,train,fight,2
v_00325,train_Fight_QkqaGJ9x_2,RWF_2000,train,fight,2
v_00326,train_Fight_QkqaGJ9x_3,RWF_2000,train,fight,2
v_00327,train_Fight_R1A_AxUKosk_0,RWF_2000,train,fight,2
v_00328,train_Fight_R1A_AxUKosk_1,RWF_2000,train,fight,2
v_00329,train_Fight_R1A_AxUKosk_2,RWF_2000,train,fight,2
v_00330,train_Fight_R1A_AxUKosk_3,RWF_2000,train,fight,2
v_00331,train_Fight_R1A_AxUKosk_4,RWF_2000,train,fight,2
v_00332,train_Fight_RGIpCpdlzI8_0,RWF_2000,train,fight,2
v_00333,train_Fight_ROiHwksPSrg_0,RWF_2000,train,fight,2
v_00334,train_Fight_RTCFGASH_573,RWF_2000,train,fight,2
v_00335,train_Fight_RTCFGASH_579,RWF_2000,train,fight,2
v_00336,train_Fight_RTDSFDSA_673,RWF_2000,train,fight,2
v_00337,train_Fight_RTDSFDSA_674,RWF_2000,train,fight,2
v_00338,train_Fight_RTDSFDSA_675,RWF_2000,train,fight,2
v_00339,train_Fight_RTDSFDSA_676,RWF_2000,train,fight,2
v_00340,train_Fight_RTDSFDSA_677,RWF_2000,train,fight,2
v_00341,train_Fight_RYFG_774,RWF_2000,train,fight,2
v_00342,train_Fight_RYFG_775,RWF_2000,train,fight,2
v_00343,train_Fight_RYFG_776,RWF_2000,train,fight,2
v_00344,train_Fight_RYFG_777,RWF_2000,train,fight,2
v_00345,train_Fight_RYFG_778,RWF_2000,train,fight,2
v_00346,train_Fight_RYFG_779,RWF_2000,train,fight,2
v_00347,train_Fight_RYFG_781,RWF_2000,train,fight,2
v_00348,train_Fight_Ri_poPbOu-k_0,RWF_2000,train,fight,2
v_00349,train_Fight_Ri_poPbOu-k_1,RWF_2000,train,fight,2
v_00350,train_Fight_Ri_poPbOu-k_2,RWF_2000,train,fight,2
v_00351,train_Fight_S+ñsÑ¦s¡És¦ùTçîµëôµP¦n+îsì¦s+òsÅæµò¦sÉìtö+s¡Ésç¦µëïn+îµÿ»S+ÇS¦êsÄƒs¢án+ƒt¢æµÄºµïìS+ïsà¿t¿ï_urlgot_220,RWF_2000,train,fight,2
v_00352,train_Fight_S+ñsÑ¦s¡És¦ùTçîµëôµP¦n+îsì¦s+òsÅæµò¦sÉìtö+s¡Ésç¦µëïn+îµÿ»S+ÇS¦êsÄƒs¢án+ƒt¢æµÄºµïìS+ïsà¿t¿ï_urlgot_221,RWF_2000,train,fight,2
v_00353,train_Fight_SCnBiAteLVI_0,RWF_2000,train,fight,2
v_00354,train_Fight_SCnBiAteLVI_1,RWF_2000,train,fight,2
v_00355,train_Fight_SGntTioECg4_997,RWF_2000,train,fight,2
v_00356,train_Fight_SGntTioECg4_999,RWF_2000,train,fight,2
v_00357,train_Fight_SNGRni0hBUM_0,RWF_2000,train,fight,2
v_00358,train_Fight_SXd2yu2LHv0_0,RWF_2000,train,fight,2
